ProteinID,p1_1,p1_2,p1_3,p2_1,p2_2,p2_3,p3_1,p3_2,p3_3,NoGp_1,NoGp_2,NoGp_3,NoGn_1,NoGn_2,NoGn_3
Q92520,264.2,212.1,209.4,218.5,235.2,206.9,270.3,248.4,228,224.6,209.1,168.9,124.7,129.2,127
P56945,351.7,190.5,255.1,127.4,195.9,280.3,297.5,218.8,170.1,265.1,196.3,233.3,97.4,125.8,136.6
P39656,290.2,176.2,187.1,504.2,154.8,237.9,259.2,263.9,203.2,221.8,180.2,261.2,257.9,158.4,194.9
Q9NR31,103.9,95.6,40.4,126.5,32.5,68.7,76.2,90.1,29.3,62.5,79.4,58.2,151.5,89.8,66.7
P62906,344.2,182.3,149.8,400.3,129.8,295.9,302.5,237.3,188.7,236.3,140.3,206.2,199.4,150.2,180
Q13360,321.6,159.5,256.9,252.1,263.8,284.4,355.5,213.8,172,217.2,167.9,222.4,65.2,53.6,63.7
Q9UK61,109.6,104,103.3,88.6,89.7,85.8,89.9,87.2,118.2,107.5,73.4,95.4,87.9,123,114.1
P49327,577.7,409.8,237.7,443.3,168.6,472.2,495.1,365,207.3,476.2,419.1,335.9,509,250.3,279.9
Q8N2F6,24.5,19.5,25.3,24.4,16.7,19.3,28.3,22.1,19.3,16.5,17.7,36.3,17.6,12.6,17
Q6DN03,340.5,179.2,444.7,147.3,505.9,331.6,320.1,154.4,346,414.9,76.9,205.1,62.9,89.9,78.5
O94874,68.1,74.3,64.6,97.9,62.1,65.9,83.2,86.6,80.2,63.1,72.9,82.4,84.1,96.2,89.2
Q99856,38.7,30.7,44.4,25.7,31.5,31.7,38,23.5,31.7,34.7,19.8,28.5,20.2,27.2,28.1
Q9NXW2,403.3,205,446.6,239.3,385,346.5,414.6,236.6,307.6,376.4,196.3,439.5,116,122,104.8
Q7L5D6,385.4,184.2,149.5,309.2,98,287.7,302.2,201.6,141.5,258.7,177.3,230.6,233,108.6,131.9
Q92879,358,196.3,153.6,600.3,135.4,309.5,301.1,268.2,192.3,276.2,158.6,249.2,213.6,116.4,119.3
Q9NV96,54.3,56,55.3,41.4,53.8,38.4,58.7,56.9,41.6,47.9,73.9,55.9,29.9,39.6,39.6
Q9UPN6,208.3,216.4,214.2,228.6,252.1,201.9,209.2,250.8,243.1,246.7,159.5,182.6,123.5,167.7,136.4
Q93077,183,520,155.4,490.8,135.8,114.3,140.4,407.2,84.6,169.6,409.5,163,284.6,93.8,139.3
Q96DH6,141.8,127.3,199.7,138.8,120.6,134.8,134.9,143.4,110.3,132.7,113.7,208,87.5,91.3,74.1
Q14582,199.1,203.5,396.9,163,444.4,182.2,229.5,222.8,463.9,265.3,169.2,215.2,43.8,37.9,42.3
