ProteinID,p1_1,p1_2,p1_3,p2_1,p2_2,p2_3,p3_1,p3_2,p3_3,NoGp_1,NoGp_2,NoGp_3,NoGn_1,NoGn_2,NoGn_3
Q9UQR0,250.1,106.7,132.5,192.2,125.8,195.8,219.1,138.7,141.7,180.9,89.2,164,105.7,88.8,87
Q6P1M0,36.6,33.6,20.2,73.6,22.6,26,27.4,39.5,34.2,34.5,26.6,24.2,36.5,30,37.4
Q9UQ35,540.8,492.4,566.3,492.8,782.5,531.1,568,532.9,781,764.9,427.5,444.2,264.3,459.4,340
P42704,392.9,389.2,290.4,510.5,286.7,293.8,384.3,454.7,418.6,368.2,369.4,381.9,452.5,358.2,370.8
P05114,38,36.7,31.2,35.3,50.6,33.7,42.6,53.3,57.3,32.3,51.4,32.6,28.7,72.7,251.9
P21796,255.7,122.1,92.7,454.2,72.3,198.7,226.2,198.3,105.5,174.4,114.5,147.7,160.3,100.6,86
P31943,2134.5,1115.1,2613,1586.2,1518.9,1934.6,2323.5,1330.1,1200.5,1891.5,839.9,1938.6,662.7,530.1,547.8
P50990,568.6,273.2,245.6,291.6,161.3,426.2,449.1,270.8,191.6,378.9,235.1,327.2,271.7,264,334
Q96ED9,109.3,103.1,107.3,86.7,93.4,77.3,95.7,90.4,98.8,109.8,100.2,140,99.4,141.1,120.9
P30048,472.4,322.8,289.4,786.3,188.1,303.4,421.2,451.5,178.1,336.2,253,241.3,599.5,196.4,199.6
O95782,75.6,68.9,44.5,131,41.9,55,67.5,92.7,48.8,60.5,61,66.7,91.1,71.9,75.6
O15127,89.2,118.6,102.9,121.4,133,84.5,104.7,127,125.1,98.6,126,98.9,44.5,40.3,43.4
P62899,95.9,57.1,85.5,75.2,85.4,103.1,110,63,83.6,89.7,64.9,87.9,53.5,68.5,80.2
P49736,431.2,189.2,221.2,282.6,151.3,332.7,339.1,214.4,201.4,335,168.9,224.3,173.6,147.9,166.2
Q9H5H4,83.4,59.4,89.3,57.4,92.5,79.5,79.9,65.3,108.6,88.8,54.9,53.3,31.5,42.7,49.4
P83916,603.8,394.8,1304.4,270.4,1480.6,696.5,730.2,457.3,1300.6,1118.5,266.8,722,123,73.9,73.1
Q2M2Z5,75.2,76.3,59.2,39.6,53.7,48.3,61.9,54.6,48.9,60.6,72.9,67.1,54.1,78,82.8
P47974,18.6,15,19.1,15,17.7,21.9,24.6,15.5,10.3,15.3,11.6,23.1,6.2,4,7.7
Q9NYL9,705.1,432,732.7,373.2,740.9,454.6,593,479.8,671.5,564.9,514.3,760.4,153.5,188.6,177.3
Q96SB8,29.1,21.6,18,39.1,13.4,22,24,28.3,19.9,27.5,12.9,19,20.8,22.1,18.6
O00299,158.5,91.8,203.1,165.1,174.4,106.5,150.6,126,127.1,108.3,74.3,227,127.6,73.5,62.7
Q8TEQ6,282.3,183.2,194.6,206.5,116.4,192.8,236.7,175.2,135,201,180.1,256.1,235.2,169.2,217.4
Q96A57,72.8,132.7,84.6,86.3,93.6,65.5,65.4,184.4,77,85.7,173.8,103.9,12,6.8,16.4
Q8NCN4,201.1,134.9,192.4,141.7,193.4,185.9,202.6,128.5,224.1,229,109.6,157.2,82.3,115.6,81.6
O43463,5,9,4,6.2,4,6,4.5,9,5.3,7.8,6.3,4.9,10.3,15.3,9.8
Q96A26,77.7,96,68.4,98.1,87.9,65.4,75.9,111.5,107.6,68.2,94.8,56.3,51.9,46.1,40.8
Q9NQS3,169.1,226.5,207,170.8,280.8,144.3,166,238.4,258.3,225.6,292,200.1,90.1,93.2,90.2
Q9UGU5,127.1,136.7,143.6,101.6,140.1,120.3,125.1,145.9,152.4,128.5,101.5,93.7,53.6,116.6,73.1
Q5SWA1,102.8,52.6,123.4,72.2,104.1,77.5,120.6,60.5,86.2,83.7,92.3,159,44.7,41.3,40.5
Q9BVG9,116,70.8,57.5,144.4,44.8,106.2,91.8,79.2,82.3,94.8,64.1,77.2,75.5,41.7,50.1
Q7Z3J2,5.8,10.7,5.5,6.2,3.3,7.4,3.8,10.4,2.2,7.4,11.7,8.5,16.8,16.6,13.5
Q8IY81,1750.8,1136.7,1426.2,1271.6,1799.2,1523.4,1766.8,1097.5,1734.3,2032.4,731.2,767.8,484,678.8,528.3
P09874,589.5,397.8,394.3,742.5,399.5,497.8,528.7,452.9,435.5,565.4,301.6,325.6,264.3,206,224.3
P40425,79.8,54.7,120.1,83.4,138.2,69.6,89.3,83.2,127.5,109.6,54.5,77.2,18.9,15.9,14.8
Q9BT25,39,28.7,49,23.4,32.8,37.6,49.7,33.1,35.4,41.9,43.8,41.9,10.4,11.6,11.8
Q6DD87,296.2,212.9,301.5,257.2,393.4,280.1,305.7,255.8,293.5,395.4,135.5,135.1,47.2,44.4,34
O95140,33,34.4,13.9,50,17.8,24.6,33.3,34.8,27.6,32.3,40.1,23.1,32.4,31.4,33.5
Q9BRQ0,15.6,21,22.3,16.2,23.4,17.3,20.3,25.2,29.9,15.7,19.3,9.8,7.1,11,9.7
Q9Y2D4,35.3,20.3,24.6,26.9,14.2,20.5,22.1,23.4,18.2,23.4,19.8,45.9,19,16.8,20.8
Q00526,23.9,21.6,14.6,33.8,10.6,16.2,21,19.3,9.5,16.1,23,17.1,33.3,33.6,28.1
P48634,541.4,868,764.4,607.8,915.9,544,593.8,860,962.1,886.5,1038,789.7,165.1,156.1,195.3
Q6P9G9,19.2,17.5,15.7,30,15.1,12.3,22.8,17.1,20,16.8,21.4,20.7,14.3,16.1,17
O14980,602.2,470.9,317.1,871.3,226.4,422.1,463.3,505.7,322.8,498.5,458.3,469,485.6,282.1,369.6
Q9NZQ3,85,56.5,63.2,70.6,43.8,76.2,74.7,56.2,58.3,57.4,50.6,82.9,65.6,53.6,49.9
P08195,526.8,362.8,556.1,454.2,574.4,395.7,508.5,387.5,514,455.7,447.5,617.4,232.5,194.6,189.8
Q12798,114.8,126.4,106.1,54.8,153.9,125,138.7,97.1,160.6,168.8,75.9,75.7,51.3,56.1,58
Q9ULI0,84.3,27.5,46.6,50.4,48,61.5,90.2,33.7,52.2,52.1,26,52.2,26.5,29.4,26.6
Q05682,158.1,233.9,301.3,224.1,357.4,159.5,206.2,284.1,425.9,192.6,339.7,291.7,102.1,103.3,116.1
Q9NZ56,29.5,33.4,76.4,38.6,66.2,22.9,48.9,45.4,73.9,31.8,70.4,122.4,22.3,16.8,19.7
O14908,56.4,36.1,51.4,35.1,40.5,52.4,51,35.2,41,47.5,33.3,72.5,36,17.3,18.7
P47897,80.9,93.5,53.4,106.9,50.4,67.1,80.7,83.4,60.4,65.6,87.3,80.1,143.2,150.4,161.6
P0DJD1,67.4,49.5,94,45.5,55.7,59.7,61,36.5,65.3,61,53.2,105.4,30.3,29.6,35
Q09666,152.9,225.3,307.3,230.9,296.1,130.9,165.7,297.6,350.9,208,346.7,304.3,209.8,208.8,144.3
Q15366,428.9,124.6,294.3,152,117.2,271.6,321.7,138.4,90.9,194.4,100.8,314.6,156.5,107.1,99.3
P25311,96.4,234,120.4,194.2,133.5,53,85.7,191,131.9,84.5,349,129.4,227,298.8,436.8
Q4G176,2.4,0,0,6.2,0,7.1,0,2.2,3,2,2.9,0,5.4,0,0
P30533,24.9,21.5,26.2,13,35.6,21.7,37.1,20.9,59.8,32.7,22,25,10.8,18.1,17.6
Q05193,30.4,50.5,27.1,40.6,38.5,35.3,32.7,55.5,49.2,29.1,45,33.6,49.3,62,66.5
Q96C90,110.4,98.2,260.7,82.7,343.4,93.9,129,162.7,376.8,167.5,129.9,262.1,43.9,29.4,30.8
Q99943,43.8,31.9,26,75.8,23.7,32.3,30.2,37.7,37.9,39.9,20.3,35.9,33.5,22.1,21.4
P46013,796.9,587.4,661.3,642.1,861.3,768.9,687.2,533.8,772.6,1163.2,409.9,371.1,248.8,296.4,243
P25774,35.5,65.2,36.6,46.9,37.8,33.9,37.4,62.1,42.8,38.6,61.6,36.2,73.6,114.9,111.5
Q14149,37.9,27.5,41,27.4,37.2,36.9,44.9,24.2,50.6,42.2,29.2,30.2,20.3,20.9,24.5
Q6P996,82.6,72.9,58.8,51.7,29.5,55.2,76.7,57.7,40.9,67.8,66.5,60.2,78.5,99.1,78.1
Q96DT7,180.2,74.7,100.4,96.8,95.1,143.5,136,72.1,108.8,142.9,57.7,100.6,60.3,77.2,62.3
Q96BN2,21.4,6.3,10.3,8.3,4.3,21.5,16.9,5.9,6.1,15.6,2.5,8,3.6,0,4.7
Q71U36,2433.4,1040.5,1460.4,1216.4,772.4,1605.6,1712.1,1085,782.6,1376,1167.5,2243.2,1421.9,819,904.1
P15170,234.3,73.5,132.1,98.9,83.5,137.9,149.4,89.7,82.9,97.4,78.1,203.9,71.8,89.9,98.4
Q13439,68.6,37.9,73.4,24,70,46.7,61.8,31.9,64.6,53.5,47.7,84.1,22.8,29.4,31.5
P15311,109.7,134.6,98.8,126.1,84.2,100.5,102.2,146.2,107.1,135.4,129.2,146.6,590.2,145.9,149.7
Q9HAV4,259.8,171.8,121.1,256.8,79.2,177.3,207.7,190.5,93.1,138.4,190.6,219.1,207.3,119.6,152.1
Q9Y2W1,647.9,469.2,666.7,646.4,852.7,582.4,695,613,923.5,742.4,429.7,387.5,199.2,242.8,246.1
Q14202,380.2,165.5,204.5,321.1,144.7,291.3,330.3,176.2,175.4,249.6,147.3,214.1,206.6,183.6,180.1
Q9ULR0,301.6,257.2,391.7,174.2,555.1,325.7,376.8,258.7,575.1,480.9,193.7,209,132.7,176.7,141.8
Q9H0N0,24.6,18,16.5,51.3,13,14.9,30.4,29.1,13.8,13.1,18.2,25.1,24.2,33.7,27.1
Q99547,293.4,134.2,243.9,115.5,271.7,273,299.9,132.9,237.4,469.7,79.7,110.8,70.3,80.5,61.2
P11142,1758.2,653.3,1392.9,923.1,747.9,1357.5,1323.7,697.8,712.8,1255.5,629.7,1351.8,754.5,600.6,543.9
Q8IXH7,80.2,43.2,61.9,46.7,36.1,57.3,65.1,52,37.8,61,32.6,56.5,28.6,42.1,41.2
O95497,25.8,54.8,26,34.9,24.1,17.6,18.5,49.5,20.9,26.8,53.7,37.1,102.8,169.7,162
O75616,54,44.4,26.5,76,23.1,42.3,44.3,51.2,35.8,40,38.1,37.6,52.4,42.3,66.4
Q8WTS6,142.3,83.4,236.8,90,183.7,114,139.2,87.7,175.5,140,71.6,219.8,62.9,71.8,72.3
Q969W9,11,12,13.5,10.3,10.6,6.4,13.1,14.6,16.4,8.6,15.6,9.6,6.3,16.9,6
O43895,6.6,12.2,7.4,12,9.6,5.4,7,12,3.7,3,12.8,10.4,22.7,29.5,28.1
P35713,37.8,28.1,34.2,20.4,32.7,40.1,41.2,28.5,26.7,48.4,19.8,13.7,17.4,33.9,21.2
O75970,149.8,48.1,143.1,72,103.1,102.6,164.4,66.3,122.9,124,68.1,263.3,41.3,41,52
Q93008,383.6,195.2,189.1,253.6,122.1,256.4,303.4,208.2,172.1,219.7,180.2,326,229.3,182.9,201.1
P09543,61.6,43.3,30.9,97.2,21.1,36.4,44.8,51.5,35.8,47.8,40.9,44.4,54.5,42.6,45.9
Q8IYL3,91.6,85.6,93.8,83.3,144.8,86.3,85.5,92,167.2,120.6,96.9,86.4,55.3,72.5,83.8
Q12797,261.4,278.6,267.7,337.6,252,226.6,270.2,286.7,311.6,279.9,267.1,250.9,223.9,210.7,195.3
Q8WV07,16.5,4,12.7,6.5,7.4,15.4,12.7,8.6,8.5,6.8,7,8.4,0,0,2.4
Q7Z4H7,411.9,144.2,348.7,176.6,197.8,262.2,328.1,158.8,167.8,277.6,168.6,448.9,138.6,122,113.3
O14770,15.2,18.6,23.5,12.8,25.4,17.2,19.3,18.6,20.3,23.9,15.1,15.5,5,7.8,3.5
Q06546,270.4,113.2,283.3,112.8,190.3,198.5,251.3,138.1,158.7,203.6,100.9,216.3,89.7,102.4,88.1
A6NF01,45.8,21,37.2,35.6,35.8,32.1,50,30.2,39.5,37.5,25.1,34.4,14.6,23.1,21.7
O00231,49.1,33,22.6,29.5,15.5,53.2,38.4,30.9,31.2,29.8,28,26,46.7,46.3,34.2
O75319,9.3,8.2,8.2,13.9,6.2,6.3,8.6,5.7,7.6,11.3,7.4,6.3,13.1,14.6,8.8
P22830,54.1,39.7,35.2,145,28.4,39.8,43.1,55.9,35.7,51.8,37.8,47.4,43.7,35.3,43.8
Q15714,99.8,43.6,89.9,27.4,61.5,74.4,95,47.1,58.6,71.3,51.5,100,43.8,123.2,75.5
C4AMC7,111.5,64.3,137.3,69.3,107.1,94.7,129.4,74.3,237.3,96.2,88.9,163,59.2,230.1,148.2
Q9BQ61,163.6,111.1,172.7,136.2,278.6,163.1,184.6,129.8,290.3,210.3,75.9,98.2,29.4,41.8,30.3
Q7Z739,105.1,143.7,100.3,91.9,122.2,82.5,111.6,139.5,112.5,92.9,151.5,104.6,59.3,114.3,69.8
Q8IWC1,530.4,360.9,488.4,503.5,558.2,421.4,489,411.7,549.1,554.7,457.1,457.6,165.9,136.5,127.8
Q14789,628.3,428.3,715.2,546.9,697.6,408.4,631.7,502.4,656.4,549.6,513.8,809.8,297.5,284.1,265.2
Q5T8I3,90.2,91.4,120.5,103.8,145.6,99.7,123.5,123.3,130.6,128.6,70.1,89.2,33.5,46.7,46.1
Q9Y2H6,51.8,40.3,37.8,54.4,34.7,43.1,50.2,48.9,39.3,55.9,41.6,62.3,51.9,34.8,50
O75396,446.7,350.6,294.9,754,257.8,339.7,391.6,427,357.4,409.1,332.4,438.9,410.6,275.9,334.1
Q0P6D6,23.4,19.1,24,14.9,14.5,14.8,22.5,15.7,15.9,17.1,20.6,33.7,9.6,16.7,20.2
Q9BXW9,127.8,86.8,74.1,101,48.5,102.9,115.4,79.6,56.2,82,78.4,93.2,81.9,48.9,66.3
O60749,279.6,115.5,256.4,105.5,151.8,224.6,217.8,112.5,147.2,206.6,125.1,274.3,108.8,93.5,91.9
O95396,14.2,12.1,5.9,13.8,5.1,13.6,13.6,9.8,9.1,12.2,11.4,9.7,15.3,18,16.2
Q8NBN3,154.4,91.5,92.4,124.1,75.7,117.1,134.2,93.5,106.1,163.5,86.7,111.9,87,89.5,75.2
Q9UPN4,117,54.5,89.9,62.9,76.5,94.6,100.9,64.6,90.9,106.5,61.6,88.1,38.7,46.6,49.6
O00139,86.5,48.4,43.6,99.5,34.2,69.6,68,61.8,61.7,83.1,48.8,64.3,45.3,30,34.4
P32969,244.6,155.8,87.9,327.5,100.6,167.3,197.9,176.3,132.2,183.6,110.7,152.3,183.9,96.4,113.1
Q96S55,39.8,17.6,18.4,26.4,10.2,31.7,22.1,14.1,17.8,25.8,12.4,19.6,13.6,13.7,19.7
Q9UNS2,263.4,141.4,137.8,188.6,81.3,208.9,241.3,140,119.7,172,144.5,230,182.9,112.6,148.7
P55957,178.2,64.4,185.1,45,117.3,146.1,189,69.5,104,164.6,63.1,189.8,33.1,37.4,25.3
Q09472,54,41.2,42.6,65.9,47,42.7,55.3,58,56.3,43.4,41.2,51.8,34.3,37.7,35.3
P27216,98.3,30.9,82.4,26.7,26.6,62.7,70.5,38.1,22,36.2,32.3,108.5,14.8,11.7,16.9
Q9H9S3,22.1,13.4,9.2,41.3,12.9,24.3,27.1,27.5,13.8,18.2,13.6,18.6,15.3,12,10.7
Q96B36,109.3,98,149.4,79.4,170.4,117.9,118.9,102.6,164.6,146,110.1,141.7,44,39.7,39
O60814,180.2,93.3,245.6,85.3,279.8,192.8,170.8,84.8,207.5,233.3,42.1,116.6,30.7,56.3,55.9
Q6P474,11.9,13.3,6,9.2,2.4,4.9,8.5,11,2.4,7.8,13.7,6.6,11.4,18.1,14.1
P63092,347.8,303.5,218.4,584.3,189.9,274.5,318.1,341.8,268.6,288.3,248.4,313.6,379,274.3,327.3
P34932,307.2,184.1,177.2,307.5,155.1,223,225.5,199.7,189.5,238.9,168.6,225.1,222.7,173.6,155.1
P17096,18.9,43.3,33.1,37.5,48.5,22.2,30.4,40.6,37.7,21,37.7,31.5,28,87,242
Q8N7X1,159.3,110.6,236.8,104.7,128.4,132.8,172.3,115.1,123.4,138.2,61.1,184.9,38.3,41.9,122.2
Q9NZ53,225.1,266.3,317.8,251.1,374.3,145.4,204.2,245.4,323.2,221.9,304.4,338.5,85,89.2,108.2
Q9H6E5,56.2,25.1,46.3,23.3,24.8,46.8,44,27.7,19.2,47.6,16.5,38.1,33.7,35.7,26.4
O75956,89.8,163.2,149.3,95.2,205.5,105.7,140.9,191,233.5,139.7,113.3,80,15.6,15.4,11.1
P46779,133.2,97.7,51.5,187,46.7,129.2,115.2,100.6,87.6,100.7,79.1,91.9,90.6,77.9,108.3
Q8TE76,18.6,17.9,25.4,16.8,16.2,11.7,24.4,11.4,18.1,20.2,15.1,25.3,11.3,15,15.7
P06702,35,69.9,40.2,54.3,37.1,21.8,35.6,62,38.5,61.2,103.7,88.7,994,196.8,131.2
Q8WVM7,39.5,20.9,30.7,41.2,30.8,32.2,35.8,31.6,38.6,46.4,19.5,36.2,19.1,18.7,12.9
Q9H0L4,151.3,109.7,184.5,122.8,184.4,129.7,154,129.7,183.9,161.5,95.4,150,52.1,132.8,67.4
Q8IY18,53.3,26.5,25.3,55.7,31.8,44.6,43,31.6,27.2,45.5,39,37.7,36.7,35.9,43.3
O43172,162.8,105.2,75.6,263.4,66.1,136.9,124.9,115.2,85.7,118.4,80.6,91.7,98,56.4,57.6
P56937,9.2,12.3,7.2,36.2,8.8,8.4,13.2,21.4,9.8,10.9,9.4,12.6,18.7,13.2,12.7
Q13085,156.5,91.5,69.5,115,46.5,142.9,128.3,91.2,62.6,120.7,123.3,95.9,122.5,101.3,118.1
O15119,42.4,81.7,40.5,56.9,65.8,36.9,47.9,80,70.3,38.8,73.8,47.9,67.8,79.3,107
P30153,883.7,326.9,406.5,316.6,141.4,478,658.6,304.3,210.2,363.8,327.2,669.7,470.2,248.7,289.7
Q07020,189.5,121.8,59,263.3,53.7,149.4,161.2,136.3,102.6,126.2,90.6,113.3,131,60.3,98
P0CG39,371,178.9,314.5,455.7,170.6,298.6,238.4,229.4,164.3,308.2,188.5,312.5,338.1,103,109.8
A4FU28,152.2,153.9,255.7,178.3,290.6,134.9,185.2,204.7,280.5,186,283.1,295,57.2,67.3,60.1
Q13886,321.6,159.5,256.9,252.1,263.8,284.4,355.5,213.8,172,217.2,167.9,222.4,65.2,53.6,63.7
P60953,389.2,280.2,245.3,751.8,185.1,261.1,321.4,372.2,261.5,259.3,264.5,344,367.9,357.1,332.9
Q16695,606.9,356.1,253.9,852.2,180.6,557.5,526.6,393.5,292.8,518.6,240.2,392.7,254.4,187.1,237.4
Q14566,396,178,188.9,220.8,132.1,339.2,290.4,191.4,181.5,288.2,162.2,226.7,204.1,205.9,234.7
O60506,912.4,535.4,829.7,919.2,533.9,772.4,807.9,639,576.8,917.4,489.9,1012.1,371.6,297.3,352.3
O43670,359.1,282.4,274.4,285,291.1,307.5,391.5,346.4,264.4,264.8,233.1,180.9,96.3,117.3,125.3
O00411,90.5,92.8,66,182.7,74.6,70.8,83.9,104.1,99.3,77.2,72.4,80.5,111.6,39.5,59.9
O75427,21.3,18.1,20.8,28.5,13.6,15.8,20.8,23.5,17.4,13.4,24.7,24.9,14,12.8,13.3
Q03938,19.2,17.5,15.7,30,15.1,12.3,22.8,17.1,20,16.8,21.4,20.7,14.3,16.1,17
P53990,306.6,109.5,310.6,95.4,173.2,245.5,255.1,143.9,134.8,282.1,149.6,395,63.8,62.8,60.4
Q92759,25.6,16.9,7,40.9,11.2,18.1,19.1,23,14.7,17.6,12.9,17.4,19,18,15.2
P04732,77.1,324,160.2,107,236.4,81.6,123.7,200.8,225.3,91.2,287.7,146.4,27.1,33.3,49.1
Q9NRY6,15.9,28.8,27.7,26.8,20,10,23.1,49.6,28.1,20.9,59.2,53.8,22.3,22.5,23.8
P30520,82.1,69.1,60.9,101,55.8,70.1,62.8,72.9,59.9,79.3,59.4,64.7,81,43.9,50
P61923,42.5,31.9,24.7,51.3,19,36.1,42.2,35.3,23.7,35.5,33,33.9,31.9,49.7,40.9
Q56UQ5,281,129.8,274.2,132,362,255.9,289.4,122.3,212.4,255.7,98.1,236.1,86,91.3,95.9
P53618,113.4,78.9,58.2,78.9,42.8,77.3,94.5,74.5,50.7,83.4,78.5,63.7,97.1,77.1,73.5
Q12873,535.5,240.9,345.8,404.9,260.3,376.1,443.2,265.3,306.5,372.6,212.7,347,284.7,202.2,285.9
P30086,53.3,71.6,94.9,80.1,84.7,52,63.9,85.6,82.3,75.9,66.4,101.9,57.4,71.6,76.4
Q9Y2H0,12,11.8,9.5,12.9,13.9,9.4,13.6,13.7,16.6,13.7,10.3,11.5,2.7,3.1,0
O76011,8.8,6.9,25.1,6.1,5.6,5.6,6.8,73.8,16.4,8,12.7,9.8,7.2,25,23.4
P55769,494.9,230.5,484.6,218,501,425.4,534.7,214.4,358.3,536.1,147,270.9,119.4,143.1,141.9
Q9NQ92,90.1,52.3,85.7,61.3,100.4,97.3,103.9,48.9,89.5,94.2,41.9,76.7,56.4,17.4,17.5
P0DN26,56.1,57.8,63.8,112.3,66.9,59,64,75.8,56.3,59.2,50.4,52.6,54,30.1,39.8
P30825,172.7,90.5,157.3,112.9,107,113.7,132.6,108.2,116.5,117.9,84.3,219.7,64.6,47.3,64.7
O95297,128.6,237.8,195.2,170.3,202.4,103.3,162.2,298.8,209.3,136.6,367.1,213.3,92.2,117.9,120.2
O75955,160.2,151.9,89.4,271.9,78,115.3,136.2,185.7,132.9,129.8,137.5,155.8,197.2,195.6,212.5
Q96BM9,42.8,40.1,22.8,64,18.7,34.1,32.4,48.1,28.9,32.5,30.2,33.7,39.2,33.6,35.3
Q9Y247,9.4,17.3,11.7,9.9,9.3,10,7.9,10.3,10.1,12.6,6.6,5.6,7.2,15.2,16.1
P12882,34,63.1,36.7,37.3,30.3,18.6,40.7,60.8,37.8,32.5,64.3,48.6,79.3,116.5,159.9
P27448,27.4,31.3,12.8,32.3,11.2,17.6,20.8,30.4,17.4,19.2,23.3,21.5,24.5,38.7,45.6
Q13227,25.7,16.1,17.3,13.6,21.6,20,25.8,19.2,24.1,20.3,14.4,13.7,6.1,8.5,9
P68104,1640.1,709.7,538.3,1173.3,381,1084.8,1078.1,733.9,574.8,881.7,702,831.5,956.4,742.6,715.1
Q9Y2T7,827,299,910.4,347.2,787.4,639.1,681.2,285.2,782.1,691.4,251.2,943.2,190.6,244.6,168.7
P51809,81.2,63.1,40.4,126.7,50,64.4,75.4,80.8,68.9,79.9,46,94.6,71.9,54.6,48.7
O00255,86.7,72.9,50.8,128.6,61.2,65.3,75.3,88.5,92.4,76.5,59.1,82,76.6,76.3,62.3
Q9Y3X0,347.5,200.9,261.2,201.3,265.5,291.9,311.8,223.1,313.5,251,217.5,218.3,77.7,118.1,95
Q6ULP2,214.5,135,227.4,120.4,211.8,180.2,261.8,136.2,249.8,208.8,189.5,307.4,98.7,151.9,152.9
Q15257,177.3,124.6,96.2,279.2,77.5,123.3,156.8,169.5,109.2,103.8,131.3,156.8,170.3,76.5,111
Q96CW6,71.9,49.8,97.1,43,84.1,72.8,85,58.2,80.4,56.8,51.9,71.6,16.3,24.2,31.9
P49023,200.2,90.2,198,88.2,119.9,160.1,189.2,127.6,113.2,141.8,131.2,226.6,53,45,42.6
Q15042,168.2,96.3,88.4,79.1,52.7,118.7,127.9,102.3,75.2,105.9,105.9,107.6,120.9,111.1,101.1
Q9NQG5,149.9,90.8,175.2,91.1,146.8,105,143.3,108.2,142.3,132.7,84.3,130.7,78.4,95.2,96.6
Q9H165,18.3,15.7,20.1,17.8,21,17.4,17.7,16.5,17.4,16.1,22,15.9,12.6,15.6,15.4
Q9NX20,20.2,23.3,16.3,38.4,10.2,14.7,12.7,27.9,17.6,21.1,18.2,22.3,25.6,21.9,25.8
Q9NSB2,49.3,57.2,91.8,42.5,35.1,26.5,43.1,338.2,51.7,135.5,377.2,80.9,79,122.9,781.2
Q9Y467,150.9,74.1,110.8,95.7,105.7,111.9,122,82.4,94.9,143.5,66,133.5,39.8,49.8,41.3
O75306,172.8,187.4,126,421.3,112.9,129.8,174.3,221.2,179.5,158.1,159,196.7,287,193.5,212.1
Q9NPJ6,264.6,150.4,222.1,175.6,256.6,209,267.7,177.9,217.6,281.9,142.3,169.8,86.1,100.6,121.4
Q14571,69.3,74.2,54.7,146.7,53.7,72.6,78.6,81.3,65.3,74.9,89.9,89.6,131.2,64.1,67.7
Q86X53,425.5,201.4,331.6,200,376.9,349.9,417,183,287.9,378.7,121.8,186.6,88.6,107.5,99.7
Q96LB3,132.1,100.1,153.8,80.3,124.8,112.5,145.6,104.4,134.1,124.2,114.6,173.3,81.1,124.1,125.6
Q9NW08,9.6,9.7,6.2,14.6,7.9,4.6,7.4,10.3,6.3,7.8,19.9,8.9,12.7,15.7,10.2
Q9BXS6,281.5,180.2,196.3,194.2,265,271.1,299.5,175.1,222.5,333.3,155.2,163.3,94.9,122.5,91.3
Q9Y4R8,142.7,105.3,57.7,146.1,50.5,138.3,110.6,107.9,59.7,114.4,97.7,97.1,133.1,82.6,88.8
P55789,38,36.7,32,35.1,38.1,31.5,36.6,39.9,30.2,37.1,27.9,28.3,33.6,54.3,33.7
Q86VU5,12.9,12.1,12.1,31.5,4,13,15.2,18.6,9.4,13.8,10.2,11.3,16,13.1,10.8
Q8IWS0,269.7,147.5,164.5,249.7,112.7,201.5,213.2,174.1,143.5,211.8,114.8,156.2,152.2,184.8,153.2
Q96PV6,302.9,403.7,369,292.6,438.2,259.3,352.9,386.2,515.9,373.9,333.9,240.9,70.3,83.7,110.7
Q9BUI4,29.8,14.2,11.5,17.8,6.4,22.6,21.5,10.9,5.9,20,9.7,12.6,14.2,4.9,8.1
Q16204,265.5,221.1,330.2,161.9,318.1,238,278.5,249.3,339.5,294.3,256.4,287.2,92.2,122.3,120.6
P33993,312.1,127,103.5,274.3,70.2,232.5,238,162.9,115.1,193.7,117.9,159.3,176.7,136.2,143
Q7Z3C6,56.7,54.6,38.8,74.2,35.5,51.2,53.8,54.6,40,42,45.1,51.6,53,29.9,34.6
A9QM74,35.8,27.8,37.1,30.3,23.3,23.1,40.1,32.4,21.1,32.6,27.2,36.2,34.4,49.3,56
Q8WY22,57.4,39,43.9,110,50,39.6,49.2,64,55.4,34.9,52.9,46.1,44.2,18.2,27.5
Q8NAV1,49,42.4,23.8,66.9,28.6,45.4,44.7,41.9,36.7,45.1,35.8,38.9,40.5,34.9,41.1
Q15834,12.1,9.7,10.9,6.7,10,10.4,11.5,9.2,13.3,12.7,3.6,7.8,3.8,3.6,5
Q9NVJ2,126.6,96.4,72.5,222.2,65.3,97.3,107.2,125.7,79.4,81.9,77.8,99.4,171.8,134.2,126.3
Q03164,53.5,45.4,62.3,65.1,63.1,39.5,64.5,53.8,49.4,56.6,45.9,54.5,28.8,35.3,36.4
Q6IQ22,104.3,60.6,52.4,194.7,41.8,75.2,82.8,91.4,73.9,63,55.5,76.3,69.5,36,47.5
Q9BTK6,40.6,28.7,64.3,16.6,67,47.6,49.7,35.7,56.7,62.1,22.4,27.9,11,10.5,12.7
Q32MZ4,466.2,372.2,586.1,315.1,558.1,362,463.3,357.1,593.8,379,504.1,629,141.9,174.2,178.4
Q9H2M9,59.8,32,27.5,43.9,22.3,44.6,47.2,35.1,28.5,51,44.1,43.6,41.2,29.3,35.9
Q8NI27,119.6,81.5,72.4,144.1,66.7,101.1,116.8,102.9,98.9,100.3,75.5,77.2,76.5,64.7,66.6
Q96HY6,313.4,156.2,384.4,244,389.7,239.3,315.9,182.1,286.7,261.3,195.1,405.4,81.4,105.6,109.4
Q96D53,34.6,32.4,22.9,58.1,22.1,27.1,26.1,34.3,27.1,33.5,27.6,32.8,43.7,40.9,49.4
